;0
0;20000
1;18000
2;20000
3;17000
4;18000
5;18000
6;18650
7;18000
8;20000
9;15000
10;20000
11;17000
12;12000
13;20000
14;10000
15;18000
16;16500
17;20000
18;19000
19;18000
20;16000
21;20000
22;17000
23;19000
24;20000
25;18000
26;20000
27;18000
28;17000
29;17000
30;18500
31;20000
32;14000
33;18000
34;18500
35;19000
36;20000
37;18000
38;20000
39;16000
40;18000
41;15000
42;18000
43;17000
44;20000
45;20000
46;18000
47;20000
48;10000
49;18000
50;20000
51;20000
52;20000
53;13000
54;18000
55;16000
56;14000
57;20000
58;17900
59;19000
60;18000
61;20000
62;15000
63;20000
64;20000
65;20000
66;20000
67;15000
68;20000
69;20000
70;15000
71;18000
72;19000
73;15000
74;18000
75;12000
76;18000
77;12500
78;20000
79;20000
80;20000
81;15000
82;19000
83;18000
84;10000
85;20000
86;17000
87;16000
88;19000
89;14500
90;20000
91;20000
92;20000
93;17000
94;20000
95;17000
96;17000
97;20000
98;20000
99;18000
100;18000
101;20000
102;17000
103;15000
104;14000
105;20000
106;16000
107;14000
108;20000
109;20000
110;20000
111;18000
112;20000
113;18000
114;20000
115;15000
116;20000
117;20000
118;20000
119;19000
120;20000
121;19500
122;15000
123;18000
124;16000
125;19000
126;15000
127;20000
128;20000
129;17000
130;14000
131;20000
132;15000
133;12000
134;20000
135;19000
136;17000
137;20000
138;20000
139;15000
140;17000
141;15000
142;18000
143;20000
144;18000
145;20000
146;18000
147;17000
148;19000
149;18000
150;20000
151;18000
152;20000
153;20000
154;20000
155;13000
156;19000
157;18000
158;20000
159;20000
160;20000
161;17000
162;20000
163;18000
164;15000
165;18000
166;18000
167;20000
168;15000
169;18000
170;19000
171;20000
172;20000
173;18000
174;20000
175;20000
176;18000
177;18500
178;16000
179;20000
180;18000
181;14000
182;15000
183;12000
184;17000
185;18000
186;17900
187;18000
188;18000
189;18000
190;13000
191;18000
192;20000
193;17500
194;20000
195;19000
196;20000
197;12000
198;20000
199;20000
200;12000
201;18000
202;15000
203;17000
204;17000
205;17000
206;20000
207;15000
208;15000
209;20000
210;20000
211;15000
212;17500
213;20000
214;16000
215;18000
216;20000
217;20000
218;20000
219;20000
220;18000
221;15000
222;14000
223;20000
224;20000
225;19000
226;18000
227;16000
228;20000
229;18000
230;20000
231;20000
232;18000
233;18000
234;20000
235;20000
236;9000
237;19000
238;15000
239;20000
240;16000
241;14000
242;14000
243;10000
244;19000
245;15000
246;16000
247;20000
248;20000
249;15000
250;20000
251;20000
252;13000
253;20000
254;16000
255;20000
256;20000
257;20000
