;0
0;107
1;81
2;243
3;62
4;51
5;81
6;100
7;133
8;92
9;100
10;107
11;313
12;80
13;56
14;107
15;92
16;42
17;92
18;92
19;89
20;92
21;92
22;92
23;62
24;92
25;89
26;104
27;135
28;51
29;135
30;102
31;326
32;92
33;82
34;91
35;135
36;104
37;92
38;100
39;56
40;183
41;92
42;92
43;92
44;70
45;92
46;92
47;73
48;122
49;135
50;92
51;212
52;70
53;92
54;106
55;91
56;107
57;92
58;90
59;101
60;92
61;101
62;92
63;107
64;92
65;92
66;83
67;107
68;92
69;42
70;82
71;100
72;92
73;100
74;89
75;92
76;92
77;82
78;78
79;92
80;130
81;79
82;101
83;92
84;107
85;271
86;102
87;550
88;92
89;92
90;107
91;75
92;92
93;135
94;53
95;70
96;62
97;250
98;92
99;92
100;86
101;122
102;79
103;92
104;91
105;135
106;56
107;106
108;77
109;100
110;92
111;107
112;91
113;211
114;89
115;100
116;62
117;336
118;92
119;122
120;107
121;92
122;42
123;91
124;62
125;107
126;92
127;92
128;60
129;54
130;279
131;61
132;106
133;92
134;92
135;92
136;239
137;239
138;101
139;92
140;102
141;122
142;90
143;92
144;100
145;92
146;92
147;142
148;62
149;92
150;107
151;227
152;102
153;92
154;355
155;92
156;135
157;271
158;92
159;56
160;115
161;219
162;92
163;313
164;79
165;286
166;92
167;122
168;332
169;102
170;122
171;92
172;83
173;92
174;107
175;42
176;84
177;92
178;105
179;92
180;105
181;101
182;92
183;297
184;74
185;62
186;92
187;92
188;155
189;100
190;207
191;43
192;147
193;187
194;92
195;212
196;123
197;297
198;101
199;92
200;122
201;92
202;92
203;277
204;100
205;92
206;237
207;53
208;147
209;92
210;155
211;77
212;135
213;92
214;92
215;145
216;60
217;90
218;253
219;253
220;86
221;322
222;92
223;103
224;106
225;107
226;107
227;92
228;42
229;92
230;92
231;84
232;101
233;118
234;462
235;92
236;79
237;92
238;106
239;92
240;107
241;92
242;92
243;187
244;107
245;147
246;73
247;89
248;206
249;92
250;129
251;107
252;291
253;92
254;106
255;102
256;104
257;101
258;107
259;92
260;286
261;297
262;85
263;107
264;107
265;92
266;121
267;187
268;107
269;107
270;53
271;63
272;92
273;42
274;92
275;92
276;129
277;90
278;347
279;92
280;107
281;344
282;234
283;390
284;53
285;91
286;106
287;52
288;116
289;91
290;212
291;91
292;62
293;89
294;90
295;100
296;135
297;184
298;146
299;62
300;74
301;89
302;284
303;82
304;142
305;212
306;92
307;135
308;122
309;119
310;122
311;92
312;91
313;107
314;147
315;247
316;92
317;297
318;56
319;76
320;107
321;118
322;76
323;56
324;107
325;188
326;289
327;135
328;107
329;107
330;90
331;92
332;107
333;42
334;92
335;313
336;92
337;62
338;65
339;100
340;62
341;122
342;185
343;92
344;271
345;87
346;147
347;160
348;204
349;329
350;107
351;271
352;56
353;106
354;135
355;91
356;107
357;92
358;92
359;73
360;77
361;116
362;344
363;107
364;122
365;92
366;92
367;74
368;99
369;92
370;92
371;92
372;91
373;197
374;92
375;122
376;147
377;132
378;142
379;92
380;56
381;181
382;122
383;76
384;92
385;107
386;42
387;92
388;101
389;187
390;92
391;92
